kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos
Kota Cirebon,4,26.75,84.5,78.27,35.6,250.8,0.4839,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.002091175240485153,0.8660254037844387,-0.4999999999999998
Kota Cirebon,4,26.75,84.5,78.27,35.6,250.8,0.4839,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.006622516556291391,0.8660254037844387,-0.4999999999999998
Kota Sukabumi,4,23.83,89.06,73.88,32.81,529.9,0.5776,1,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.002691548537591961,0.8660254037844387,-0.4999999999999998
Kota Sukabumi,4,23.83,89.06,73.88,32.81,529.9,0.5776,1,sukabumi,Kota Sukabumi,3450,71.875,0.014492753623188406,0.8660254037844387,-0.4999999999999998
Kuningan,4,25.15,88.24,76.03,29.2,332.6,0.7883,1,kuningan,Kabupaten Kuningan,388700,347.9856759176365,0.007718034473887317,0.8660254037844387,-0.4999999999999998
Majalengka,4,25.38,87.85,76.36,29.95,306.2,0.684,1,majalengka,Kabupaten Majalengka,290500,241.27906976744185,0.0017211703958691911,0.8660254037844387,-0.4999999999999998
Purwakarta,4,25.57,88.44,76.76,28.94,415.6,0.7214,1,purwakarta,Kabupaten Purwakarta,145250,176.06060606060606,0.0010327022375215145,0.8660254037844387,-0.4999999999999998
Subang,4,26.26,87.46,77.81,30.1,311.9,0.6891,1,subang,Kabupaten Subang,206200,109.506107275624,0.0009699321047526673,0.8660254037844387,-0.4999999999999998
Sukabumi,4,24.73,89.21,75.42,27.59,439.8,0.795,1,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.002691548537591961,0.8660254037844387,-0.4999999999999998
Sukabumi,4,24.73,89.21,75.42,27.59,439.8,0.795,1,sukabumi,Kota Sukabumi,3450,71.875,0.014492753623188406,0.8660254037844387,-0.4999999999999998
Sumedang,4,24.44,89.19,74.92,27.97,366.3,0.7682,1,sumedang,Kabupaten Sumedang,286500,188.23915900131405,0.006980802792321117,0.8660254037844387,-0.4999999999999998
Kota Bekasi,4,27.23,86.11,79.26,36.59,233.9,0.3909,2,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099279,0.8660254037844387,-0.4999999999999998
Kota Bekasi,4,27.23,86.11,79.26,36.59,233.9,0.3909,2,bekasi,Kota Bekasi,920,4.380952380952381,0.021739130434782608,0.8660254037844387,-0.4999999999999998
Kota Depok,4,26.73,87.19,78.55,36.34,428.0,0.465,1,depok,Kota Depok,610,3.05,0.01639344262295082,0.8660254037844387,-0.4999999999999998
Bandung,5,22.15,86.17,70.81,25.86,50.9,0.7194,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.07569721115537849,0.49999999999999994,-0.8660254037844387
Bandung,5,22.15,86.17,70.81,25.86,50.9,0.7194,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017096,0.49999999999999994,-0.8660254037844387
Kota Cimahi,5,23.61,86.44,73.27,32.68,37.7,0.3529,1,cimahi,Kota Cimahi,1140,28.5,0.02631578947368421,0.49999999999999994,-0.8660254037844387
Kota Tasikmalaya,5,23.86,88.94,73.93,27.68,72.6,0.658,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.015965939329430547,0.49999999999999994,-0.8660254037844387
Kota Tasikmalaya,5,23.86,88.94,73.93,27.68,72.6,0.658,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652173,0.024067388688327317,0.49999999999999994,-0.8660254037844387
Tasikmalaya,5,24.14,88.1,74.31,25.91,65.7,0.8147,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.015965939329430547,0.49999999999999994,-0.8660254037844387
Tasikmalaya,5,24.14,88.1,74.31,25.91,65.7,0.8147,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652173,0.024067388688327317,0.49999999999999994,-0.8660254037844387
Ciamis,5,24.86,87.78,75.5,26.73,69.1,0.7921,1,ciamis,Kabupaten Ciamis,546900,381.64689462665734,0.007313951362223441,0.49999999999999994,-0.8660254037844387
Kota Banjar,5,25.75,88.03,77.01,28.86,63.8,0.6825,1,banjar,Kota Banjar,10610,93.0701754385965,0.01885014137606032,0.49999999999999994,-0.8660254037844387
Bekasi,5,27.71,81.55,79.45,32.12,53.1,0.5431,2,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099279,0.49999999999999994,-0.8660254037844387
Bekasi,5,27.71,81.55,79.45,32.12,53.1,0.5431,2,bekasi,Kota Bekasi,920,4.380952380952381,0.021739130434782608,0.49999999999999994,-0.8660254037844387
Bogor,5,25.15,84.68,75.65,28.5,144.4,0.7337,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.008951788226267104,0.49999999999999994,-0.8660254037844387
Bogor,5,25.15,84.68,75.65,28.5,144.4,0.7337,1,bogor,Kota Bogor,4600,38.983050847457626,0.021739130434782608,0.49999999999999994,-0.8660254037844387
Cianjur,5,24.05,87.05,74.06,26.89,74.6,0.783,1,cianjur,Kabupaten Cianjur,611500,175.7183908045977,0.008176614881439084,0.49999999999999994,-0.8660254037844387
Cirebon,5,27.5,78.27,78.7,30.47,65.5,0.6353,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.002091175240485153,0.49999999999999994,-0.8660254037844387
Cirebon,5,27.5,78.27,78.7,30.47,65.5,0.6353,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.006622516556291391,0.49999999999999994,-0.8660254037844387
Garut,5,22.66,86.74,71.72,25.41,62.7,0.7966,0,garut,Kabupaten Garut,1371800,447.5693311582382,0.018224230937454438,0.49999999999999994,-0.8660254037844387
Indramayu,5,28.04,75.38,79.16,31.11,63.8,0.5867,2,indramayu,Kabupaten Indramayu,175600,83.65888518342068,0.0005694760820045558,0.49999999999999994,-0.8660254037844387
Karawang,5,27.75,80.98,79.45,30.55,53.3,0.6243,2,karawang,Kabupaten Karawang,107600,65.13317191283294,0.0009293680297397769,0.49999999999999994,-0.8660254037844387
Kota Bandung,5,23.39,85.74,72.84,32.48,37.3,0.3728,1,bandung,Kabupaten Bandung,502000,283.9366515837104,0.07569721115537849,0.49999999999999994,-0.8660254037844387
Kota Bandung,5,23.39,85.74,72.84,32.48,37.3,0.3728,1,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017096,0.49999999999999994,-0.8660254037844387
Kota Bogor,5,25.68,85.05,76.57,32.5,170.6,0.5239,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.008951788226267104,0.49999999999999994,-0.8660254037844387
Kota Bogor,5,25.68,85.05,76.57,32.5,170.6,0.5239,1,bogor,Kota Bogor,4600,38.983050847457626,0.021739130434782608,0.49999999999999994,-0.8660254037844387
Kota Cirebon,5,26.9,78.49,77.76,32.65,60.2,0.4855,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.002091175240485153,0.49999999999999994,-0.8660254037844387
